feature,mean_absolute_SHAP
NOSC,0.09325906718599952
N/C,0.058247249283987564
O/C,0.04608530572266053
H,0.034268497398192155
AImod,0.026658577568200472
C,0.025745192508169406
H/C,0.018136931899685568
DBE-O,0.017265249144385503
MW,0.016996729124359008
O,0.015299626737308418
S/C,0.015286962371942731
DBE,0.0109848109656633
P/C,0.002103043842635991
