params,param_model__C,mean_test_macro_f1,std_test_macro_f1,split0_test_macro_f1,split1_test_macro_f1,split2_test_macro_f1,split3_test_macro_f1,split4_test_macro_f1,mean_test_balanced_accuracy,std_test_balanced_accuracy,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_train_macro_f1,std_train_macro_f1,split0_train_macro_f1,split1_train_macro_f1,split2_train_macro_f1,split3_train_macro_f1,split4_train_macro_f1,mean_train_balanced_accuracy,std_train_balanced_accuracy,split0_train_balanced_accuracy,split1_train_balanced_accuracy,split2_train_balanced_accuracy,split3_train_balanced_accuracy,split4_train_balanced_accuracy,rank_test_macro_f1
{'model__C': 10.0},10.0,0.616142527781433,0.015936090668732555,0.6206186822306109,0.6446682580634137,0.6106762983998025,0.6060527336043778,0.5986966666089605,0.6167433517932686,0.016141469036208913,0.620055718600731,0.6457814074028388,0.6121607354707165,0.6074435934739308,0.5982753040181255,0.6186064970938964,0.0050268118328996485,0.618205028908954,0.6099940787697933,0.625477489555863,0.6207965872828658,0.618559300952006,0.6186127125791768,0.005104880172595053,0.6181635979522323,0.6099625430306527,0.6255738480391878,0.6211865500177745,0.6181770238560369,1
{'model__C': 100.0},100.0,0.6143939403369116,0.014413225722898035,0.6090503086825168,0.6426662560614117,0.6104281311831886,0.6076787447536707,0.6021462610037706,0.6147926336664667,0.014858225309006663,0.6083923600444181,0.6437364176277877,0.6114612546393211,0.6090256488398221,0.6013474871809849,0.6212493896579873,0.004532268569434223,0.6247713923966275,0.6136331791496563,0.6268255858531621,0.6202803414215023,0.6207364494689883,0.6209843803120669,0.004522830095342425,0.6243487857616737,0.6133919038581738,0.6266635073942873,0.6203287498329503,0.6201889547132496,2
{'model__C': 1.0},1.0,0.6043350786335455,0.020516203679987237,0.6080800135616206,0.641256863969893,0.6013478073008174,0.5834294317052938,0.5875612766301025,0.6059724137894841,0.020793096476916344,0.6084641386554571,0.6437256545237084,0.6037436252795082,0.5858097542747059,0.5881188962140405,0.6122607008302947,0.0049100462286177345,0.6083765649670205,0.6059013193389968,0.6181697669647576,0.6176453578077893,0.6112104950729097,0.6132310068991785,0.00493336934026967,0.6098209762657217,0.6067103210343182,0.6191349064200428,0.6187500790291324,0.6117387517466771,3
{'model__C': 0.01},0.01,0.5954766824655601,0.012942023200684922,0.6018339661603419,0.6143453743707984,0.5913401182373325,0.574893440212365,0.5949705133469628,0.5995049923944351,0.01339741224916128,0.60380833343622,0.6205428958071059,0.5952082418771821,0.5790720511211164,0.5988934397305513,0.5982915162029374,0.004631640259202957,0.5960962576379423,0.5933416104930761,0.6017954334933789,0.6055450465860567,0.5946792328042328,0.601780394363393,0.004909449736573364,0.6004563934906737,0.5960046599740823,0.6054836828976415,0.6092196597223247,0.5977375757322428,4
{'model__C': 0.1},0.1,0.5945012664879985,0.01318467022663668,0.5969221962500773,0.618867546812161,0.5898200374598669,0.5847424982529561,0.5821540536649313,0.5967707443132643,0.013734427816327046,0.5981203929449251,0.6223722606993115,0.5927543750808745,0.5871445001142824,0.5834621927269277,0.6059514066043465,0.003149281540488579,0.6047031058747439,0.6009738480714275,0.6106108672230083,0.6063357627029752,0.6071334491495776,0.6078367045944544,0.0033823229577787557,0.6069139942401612,0.6022649787179751,0.6127394980220948,0.6086104747767404,0.6086545772152999,5
