model,class,roc_auc,average_precision
random_forest,precursors,0.9156209313277377,0.8524194109454544
random_forest,products,0.8929361268732723,0.7901503055857633
random_forest,resistant,0.89412100456621,0.8559395969053489
logistic_regression,precursors,0.8082045209008559,0.7144907326455814
logistic_regression,products,0.7870871526262185,0.5888697372843135
logistic_regression,resistant,0.7433722804190169,0.5665138651484282
