model,best_CV_macro_F1,test_balanced_accuracy,test_macro_F1,test_macro_ROC_AUC,test_macro_average_precision
random_forest,0.7192306175749115,0.7555036066301106,0.7543366548401766,0.9008926875890734,0.832836437812189
logistic_regression,0.616142527781433,0.6046154304533392,0.6043349005380939,0.7795546513153638,0.6232914450261077
