class,precision,recall,f1,support
precursors,0.7525773195876289,0.7643979057591623,0.7584415584415585,382
products,0.6909090909090909,0.764367816091954,0.7257844474761255,348
resistant,0.8246575342465754,0.7377450980392157,0.7787839586028461,408
