class,precision,recall,f1,support
precursors,0.6403061224489796,0.6570680628272252,0.648578811369509,382
products,0.5726744186046512,0.5660919540229885,0.569364161849711,348
resistant,0.599502487562189,0.5906862745098039,0.5950617283950618,408
